time,source,destination,E/D-age-gender-origin,legal_status-employment-property_in_ukraine-sizeE-sizeD
1, germany, chernihivska, E-65-f-chernihivska, tp-True-5-4-0
1, germany, chernihivska, E-14-f-chernihivska, tp-True-5-4-0
1, germany, chernihivska, E-3-m-chernihivska, tp-True-5-4-0
1, germany, chernihivska, E-39-f-chernihivska, tp-True-5-4-0
1, italy, khersonska, E-10-f-khersonska, tp-True-5-2-1
1, italy, khersonska, E-4-f-khersonska, tp-True-5-2-1
1, italy, khersonska, E-56-f-khersonska, tp-True-5-2-1
2, poland, vinnytska, E-5-m-vinnytska, tp-True-1-2-0
2, poland, vinnytska, E-31-f-vinnytska, tp-True-1-2-0
2, slovakia, lvivska, E-3-m-lvivska, tp-True-2-3-0
2, slovakia, lvivska, E-3-f-lvivska, tp-True-2-3-0
2, slovakia, lvivska, E-52-f-lvivska, tp-True-2-3-0
2, czechia, volynska, E-46-m-volynska, tp-True-5-3-1
2, czechia, volynska, E-34-m-volynska, tp-True-5-3-1
2, czechia, volynska, E-40-f-volynska, tp-True-5-3-1
2, czechia, volynska, E-33-f-volynska, tp-True-5-3-1
2, germany, chernihivska, E-35-f-chernihivska, tp-True-1-1-0
2, spain, kharkivska, E-59-m-kharkivska, tp-True-1-1-2
2, spain, kharkivska, E-55-f-kharkivska, tp-True-1-1-2
2, spain, kharkivska, E-29-f-kharkivska, tp-True-1-1-2
2, italy, khersonska, E-32-f-khersonska, tp-True-2-2-0
2, italy, khersonska, E-34-m-khersonska, tp-True-2-2-0
3, czechia, volynska, E-46-f-volynska, tp-True-5-1-0
3, germany, chernihivska, E-42-f-chernihivska, tp-True-5-2-2
3, germany, chernihivska, E-47-m-chernihivska, tp-True-5-2-2
3, germany, chernihivska, E-14-f-chernihivska, tp-True-5-2-2
3, germany, chernihivska, E-85-f-chernihivska, tp-True-5-2-2
3, germany, chernihivska, E-2-f-chernihivska, tp-True-5-1-3
3, germany, chernihivska, E-7-f-chernihivska, tp-True-5-1-3
3, germany, chernihivska, E-63-m-chernihivska, tp-True-5-1-3
3, germany, chernihivska, E-18-f-chernihivska, tp-True-5-1-3
3, spain, kharkivska, E-18-f-kharkivska, tp-True-0-2-4
3, spain, kharkivska, E-62-m-kharkivska, tp-True-0-2-4
3, spain, kharkivska, E-86-f-kharkivska, tp-True-0-2-4
3, spain, kharkivska, E-0-f-kharkivska, tp-True-0-2-4
3, spain, kharkivska, E-53-f-kharkivska, tp-True-0-2-4
3, spain, kharkivska, E-31-m-kharkivska, tp-True-0-2-4
3, belgium, luhanska, E-1-f-luhanska, tp-True-0-2-2
3, belgium, luhanska, E-32-f-luhanska, tp-True-0-2-2
3, belgium, luhanska, E-24-f-luhanska, tp-True-0-2-2
3, belgium, luhanska, E-0-m-luhanska, tp-True-0-2-2
4, germany, chernihivska, E-21-f-chernihivska, tp-True-5-1-1
4, germany, chernihivska, E-33-f-chernihivska, tp-True-5-1-1
4, germany, chernihivska, E-16-m-chernihivska, tp-True-5-3-1
4, germany, chernihivska, E-54-m-chernihivska, tp-True-5-3-1
4, germany, chernihivska, E-39-m-chernihivska, tp-True-5-3-1
4, germany, chernihivska, E-2-f-chernihivska, tp-True-5-3-1
4, spain, kharkivska, E-26-m-kharkivska, tp-True-3-2-0
4, spain, kharkivska, E-6-f-kharkivska, tp-True-3-2-0
4, netherlands, odeska, E-57-f-odeska, tp-True-5-1-1
4, netherlands, odeska, E-1-m-odeska, tp-True-5-1-1
4, belgium, luhanska, E-0-m-luhanska, tp-True-0-4-0
4, belgium, luhanska, E-8-f-luhanska, tp-True-0-4-0
4, belgium, luhanska, E-0-m-luhanska, tp-True-0-4-0
4, belgium, luhanska, E-9-m-luhanska, tp-True-0-4-0
4, greece, donetska, E-7-f-donetska, tp-True-3-3-0
4, greece, donetska, E-53-f-donetska, tp-True-3-3-0
4, greece, donetska, E-43-f-donetska, tp-True-3-3-0
5, germany, chernihivska, E-83-f-chernihivska, tp-True-3-1-1
5, germany, chernihivska, E-58-f-chernihivska, tp-True-3-1-1
5, netherlands, odeska, E-4-f-odeska, tp-True-5-1-1
5, netherlands, odeska, E-44-f-odeska, tp-True-5-1-1
6, germany, chernihivska, E-11-f-chernihivska, tp-True-1-1-3
6, germany, chernihivska, E-20-m-chernihivska, tp-True-1-1-3
6, germany, chernihivska, E-45-f-chernihivska, tp-True-1-1-3
6, germany, chernihivska, E-9-m-chernihivska, tp-True-1-1-3
6, germany, chernihivska, E-27-f-chernihivska, tp-True-5-2-0
6, germany, chernihivska, E-60-f-chernihivska, tp-True-5-2-0
6, austria, dnipropetrovska, E-32-f-dnipropetrovska, tp-True-5-2-0
6, austria, dnipropetrovska, E-44-m-dnipropetrovska, tp-True-5-2-0
7, poland, vinnytska, E-5-f-vinnytska, tp-True-5-2-3
7, poland, vinnytska, E-20-f-vinnytska, tp-True-5-2-3
7, poland, vinnytska, E-33-m-vinnytska, tp-True-5-2-3
7, poland, vinnytska, E-17-m-vinnytska, tp-True-5-2-3
7, poland, vinnytska, E-11-m-vinnytska, tp-True-5-2-3
7, germany, chernihivska, E-7-m-chernihivska, tp-True-5-2-2
7, germany, chernihivska, E-47-f-chernihivska, tp-True-5-2-2
7, germany, chernihivska, E-0-f-chernihivska, tp-True-5-2-2
7, germany, chernihivska, E-29-m-chernihivska, tp-True-5-2-2
