time,source,destination,E/D-age-gender-origin,legal_status-employment-property_in_ukraine-sizeE-sizeD
1, slovakia, chernihivska, E-14-f-chernihivska, tp-True-1-3-0
1, slovakia, chernihivska, E-55-f-chernihivska, tp-True-1-3-0
1, slovakia, chernihivska, E-44-m-chernihivska, tp-True-1-3-0
1, czechia, autonomous_republic_of_crimea, E-9-f-autonomous_republic_of_crimea, tp-True-3-2-0
1, czechia, autonomous_republic_of_crimea, E-2-m-autonomous_republic_of_crimea, tp-True-3-2-0
2, hungary, odeska, E-8-m-odeska, tp-True-5-2-1
2, hungary, odeska, E-56-f-odeska, tp-True-5-2-1
2, hungary, odeska, E-57-f-odeska, tp-True-5-2-1
2, czechia, autonomous_republic_of_crimea, E-8-m-autonomous_republic_of_crimea, tp-True-5-2-0
2, czechia, autonomous_republic_of_crimea, E-16-m-autonomous_republic_of_crimea, tp-True-5-2-0
2, czechia, autonomous_republic_of_crimea, E-42-f-autonomous_republic_of_crimea, tp-True-3-2-2
2, czechia, autonomous_republic_of_crimea, E-48-f-autonomous_republic_of_crimea, tp-True-3-2-2
2, czechia, autonomous_republic_of_crimea, E-59-f-autonomous_republic_of_crimea, tp-True-3-2-2
2, czechia, autonomous_republic_of_crimea, E-61-f-autonomous_republic_of_crimea, tp-True-3-2-2
2, germany, donetska, E-39-f-donetska, tp-True-5-1-3
2, germany, donetska, E-1-m-donetska, tp-True-5-1-3
2, germany, donetska, E-38-m-donetska, tp-True-5-1-3
2, germany, donetska, E-69-f-donetska, tp-True-5-1-3
2, ireland, donetska, E-31-m-donetska, tp-True-5-1-2
2, ireland, donetska, E-28-f-donetska, tp-True-5-1-2
2, ireland, donetska, E-61-f-donetska, tp-True-5-1-2
2, denmark, kyivska, E-33-f-kyivska, tp-True-2-2-2
2, denmark, kyivska, E-51-m-kyivska, tp-True-2-2-2
2, denmark, kyivska, E-12-m-kyivska, tp-True-2-2-2
2, denmark, kyivska, E-34-m-kyivska, tp-True-2-2-2
3, czechia, autonomous_republic_of_crimea, E-69-f-autonomous_republic_of_crimea, tp-True-5-1-3
3, czechia, autonomous_republic_of_crimea, E-64-f-autonomous_republic_of_crimea, tp-True-5-1-3
3, czechia, autonomous_republic_of_crimea, E-26-f-autonomous_republic_of_crimea, tp-True-5-1-3
3, czechia, autonomous_republic_of_crimea, E-5-f-autonomous_republic_of_crimea, tp-True-5-1-3
3, germany, donetska, E-1-m-donetska, tp-True-3-1-1
3, germany, donetska, E-2-m-donetska, tp-True-3-1-1
3, germany, donetska, E-18-f-donetska, tp-True-5-3-1
3, germany, donetska, E-36-f-donetska, tp-True-5-3-1
3, germany, donetska, E-2-m-donetska, tp-True-5-3-1
3, germany, donetska, E-34-f-donetska, tp-True-5-3-1
3, germany, donetska, E-58-m-donetska, tp-True-5-3-1
3, germany, donetska, E-41-m-donetska, tp-True-5-3-1
3, germany, donetska, E-19-f-donetska, tp-True-5-3-1
3, germany, donetska, E-41-f-donetska, tp-True-5-3-1
3, spain, dnipropetrovska, E-51-f-dnipropetrovska, tp-True-2-3-0
3, spain, dnipropetrovska, E-17-m-dnipropetrovska, tp-True-2-3-0
3, spain, dnipropetrovska, E-53-f-dnipropetrovska, tp-True-2-3-0
3, italy, khmelnytska, E-2-f-khmelnytska, tp-True-5-3-1
3, italy, khmelnytska, E-33-f-khmelnytska, tp-True-5-3-1
3, italy, khmelnytska, E-55-m-khmelnytska, tp-True-5-3-1
3, italy, khmelnytska, E-37-f-khmelnytska, tp-True-5-3-1
3, portugal, rivnenska, E-37-m-rivnenska, tp-True-3-3-1
3, portugal, rivnenska, E-45-m-rivnenska, tp-True-3-3-1
3, portugal, rivnenska, E-19-m-rivnenska, tp-True-3-3-1
3, portugal, rivnenska, E-47-f-rivnenska, tp-True-3-3-1
3, cyprus, donetska, E-45-f-donetska, tp-True-0-2-1
3, cyprus, donetska, E-20-f-donetska, tp-True-0-2-1
3, cyprus, donetska, E-34-f-donetska, tp-True-0-2-1
