time,source,destination,E/D-age-gender-origin,legal_status-employment-property_in_ukraine-sizeE-sizeD
1, germany, donetska, E-32-f-donetska, tp-True-0-2-2
1, germany, donetska, E-63-f-donetska, tp-True-0-2-2
1, germany, donetska, E-5-m-donetska, tp-True-0-2-2
1, germany, donetska, E-61-f-donetska, tp-True-0-2-2
1, germany, donetska, E-53-f-donetska, tp-True-5-1-3
1, germany, donetska, E-21-f-donetska, tp-True-5-1-3
1, germany, donetska, E-9-m-donetska, tp-True-5-1-3
1, germany, donetska, E-36-f-donetska, tp-True-5-1-3
1, croatia, zakarpatska, E-53-f-zakarpatska, tp-True-5-2-1
1, croatia, zakarpatska, E-15-m-zakarpatska, tp-True-5-2-1
1, croatia, zakarpatska, E-6-m-zakarpatska, tp-True-5-2-1
1, spain, chernihivska, E-46-f-chernihivska, tp-True-5-2-1
1, spain, chernihivska, E-7-f-chernihivska, tp-True-5-2-1
1, spain, chernihivska, E-51-f-chernihivska, tp-True-5-2-1
1, netherlands, poltavska, E-16-m-poltavska, tp-True-2-3-1
1, netherlands, poltavska, E-58-f-poltavska, tp-True-2-3-1
1, netherlands, poltavska, E-22-m-poltavska, tp-True-2-3-1
1, netherlands, poltavska, E-90-f-poltavska, tp-True-2-3-1
2, poland, sumska, E-53-m-sumska, tp-True-5-1-1
2, poland, sumska, E-14-m-sumska, tp-True-5-1-1
2, poland, sumska, E-13-m-sumska, tp-True-3-2-0
2, poland, sumska, E-44-m-sumska, tp-True-3-2-0
2, poland, sumska, E-6-f-sumska, tp-True-5-1-1
2, poland, sumska, E-26-f-sumska, tp-True-5-1-1
2, cyprus, lvivska, E-63-f-lvivska, tp-True-5-2-1
2, cyprus, lvivska, E-26-f-lvivska, tp-True-5-2-1
2, cyprus, lvivska, E-43-f-lvivska, tp-True-5-2-1
3, poland, sumska, E-12-f-sumska, tp-True-5-3-0
3, poland, sumska, E-1-f-sumska, tp-True-5-3-0
3, poland, sumska, E-18-f-sumska, tp-True-5-3-0
3, poland, sumska, E-28-m-sumska, tp-True-1-1-0
