time,source,destination,E/D-age-gender-origin,legal_status-employment-property_in_ukraine-sizeE-sizeD
1, slovakia, kyivska, E-53-f-kyivska, tp-True-5-1-0
1, republic_of_moldova, vinnytska, E-50-f-vinnytska, tp-True-3-2-0
1, republic_of_moldova, vinnytska, E-49-f-vinnytska, tp-True-3-2-0
1, germany, dnipropetrovska, E-2-f-dnipropetrovska, tp-True-5-4-1
1, germany, dnipropetrovska, E-16-f-dnipropetrovska, tp-True-5-4-1
1, germany, dnipropetrovska, E-19-f-dnipropetrovska, tp-True-5-4-1
1, germany, dnipropetrovska, E-54-m-dnipropetrovska, tp-True-5-4-1
1, germany, dnipropetrovska, E-33-f-dnipropetrovska, tp-True-5-4-1
1, germany, dnipropetrovska, E-53-m-dnipropetrovska, tp-True-3-1-3
1, germany, dnipropetrovska, E-16-f-dnipropetrovska, tp-True-3-1-3
1, germany, dnipropetrovska, E-31-f-dnipropetrovska, tp-True-3-1-3
1, germany, dnipropetrovska, E-56-m-dnipropetrovska, tp-True-3-1-3
1, germany, dnipropetrovska, E-45-f-dnipropetrovska, tp-True-1-2-2
1, germany, dnipropetrovska, E-41-f-dnipropetrovska, tp-True-1-2-2
1, germany, dnipropetrovska, E-43-m-dnipropetrovska, tp-True-1-2-2
1, germany, dnipropetrovska, E-47-f-dnipropetrovska, tp-True-1-2-2
1, germany, dnipropetrovska, E-19-m-dnipropetrovska, tp-True-5-1-4
1, germany, dnipropetrovska, E-68-f-dnipropetrovska, tp-True-5-1-4
1, germany, dnipropetrovska, E-14-m-dnipropetrovska, tp-True-5-1-4
1, germany, dnipropetrovska, E-55-f-dnipropetrovska, tp-True-5-1-4
1, germany, dnipropetrovska, E-88-m-dnipropetrovska, tp-True-5-1-4
1, netherlands, donetska, E-36-f-donetska, tp-True-5-3-0
1, netherlands, donetska, E-43-f-donetska, tp-True-5-3-0
1, netherlands, donetska, E-22-f-donetska, tp-True-5-3-0
1, netherlands, donetska, E-37-f-donetska, tp-True-5-1-3
1, netherlands, donetska, E-39-f-donetska, tp-True-5-1-3
1, netherlands, donetska, E-20-m-donetska, tp-True-5-1-3
1, netherlands, donetska, E-4-m-donetska, tp-True-5-1-3
